,episode_rewards
0,-487883.3246469617
1,-526975.7701150811
2,-593514.4476322723
3,-618899.7781195805
4,-661190.469665044
5,-614073.6190031216
6,-599917.9785388558
7,-634354.6631764402
8,-648151.3714220775
9,-661699.5664112669
10,-626137.4352052626
11,-620740.4516422709
12,-631854.4068274157
13,-646308.9297613369
14,-658228.6142896392
15,-647884.7382339401
16,-652803.0800068856
17,-672872.0768516326
18,-694937.8677611866
19,-713552.9146741538
20,-624155.4612368139
21,-651625.9458655772
22,-667728.8219529978
23,-640900.4134776945
24,-653170.9240639874
25,-667314.7178148867
26,-675814.0456172436
27,-676956.848394224
28,-678599.1522680758
29,-633855.6131499027
30,-617997.4942400152
31,-663396.83011305
32,-633971.8389522249
33,-643107.2105310309
34,-625354.2075272406
35,-628144.8135947664
36,-642869.5355227554
37,-622501.71327398
38,-595598.5486064312
39,-667757.5768369825
40,-621906.049278124
41,-637910.3991127108
42,-654324.444349377
43,-664896.3672098899
44,-680131.1664329519
45,-651963.0399937028
46,-664676.6197496599
47,-607274.2420105352
48,-601058.5852813439
49,-668117.773874708
50,-637571.3344514874
51,-634753.107527382
52,-625073.0095647607
53,-640002.530251101
54,-659651.3913474032
55,-625700.6718087184
56,-642218.8917783044
57,-647076.2240749629
58,-664622.9194893608
59,-655259.9844234635
60,-631711.9834580772
61,-642323.0804055743
62,-650037.4495477983
63,-685063.867637695
64,-672924.3371236322
65,-626218.7356032026
66,-656310.5726060097
67,-648512.1002116019
68,-672922.8800720144
69,-706259.6625104835
70,-701542.438970455
71,-652298.615273192
72,-665198.1597641311
73,-703906.3459144284
74,-722653.7043425584
75,-689559.8539507807
76,-633519.0316025821
77,-647916.9458400871
78,-618814.7156056645
79,-652706.3435769855
80,-625555.0279131397
81,-668169.8532214978
82,-606543.129056974
83,-646651.9518416899
84,-678326.052656134
85,-672060.6105566055
86,-689821.2870475658
87,-669269.4470186342
88,-669268.2965356199
89,-687464.7897417279
90,-641072.2949035389
91,-697044.3321825735
92,-686952.772276483
93,-641995.0210057283
94,-705657.3212246274
95,-687554.9766768789
96,-661932.9257515274
97,-601843.8703930103
98,-705025.5008230701
99,-683420.6258057386
100,-645257.3925292584
101,-680967.7182672828
102,-665610.9774240282
103,-715766.7885997681
104,-670816.4201704309
105,-681523.0598356166
106,-687820.6517666304
107,-695372.6324040883
108,-704020.2363751008
109,-728023.3253967168
110,-702998.5035852455
111,-714936.7350565739
112,-689957.912622757
113,-701894.7027525784
114,-695038.9341924568
115,-638026.381549405
116,-640882.8135645327
117,-614548.8378437071
118,-641740.1468937875
119,-680589.5761775315
120,-665113.975063367
121,-625499.5108125869
122,-641907.7024754124
123,-666332.9398276506
124,-686821.7081554781
125,-654797.9292094135
126,-640318.463895227
127,-681769.198931491
128,-676587.4496149195
129,-736400.3086041274
130,-728354.1549126965
131,-706687.8746423246
132,-715125.3349678635
133,-617453.595675226
134,-719243.6809826678
135,-701159.70310674
136,-721243.9968120574
137,-691000.5490037098
138,-716439.2344684624
139,-767119.6610130221
140,-629528.6672342011
141,-707365.1894228365
142,-694972.8195545432
143,-648024.1994380689
144,-712539.8635748599
145,-721954.5091034668
146,-709642.8996909513
147,-685756.1460628995
148,-731979.7665030005
149,-731711.3152813603
150,-693829.0273037837
151,-689311.5043856803
152,-608062.6503288522
153,-665446.0472272503
154,-674543.0726865226
155,-650912.0733201831
156,-627354.8245424066
157,-590665.6542293463
158,-667526.1831216438
159,-710144.3515379158
160,-695714.0230226822
161,-698069.4216557834
162,-678463.6251330342
163,-694963.2781104601
164,-600286.3874296447
165,-636194.7264319591
166,-670811.2685549286
167,-653404.4280989436
168,-636680.7746692523
169,-643037.8605806751
170,-629085.5319720613
171,-588891.5743377068
172,-576624.7890712679
173,-586312.2931750675
174,-574249.323527422
175,-570028.6377394076
176,-601628.3286085379
177,-633462.1860006488
178,-688206.5915178332
179,-695732.2136143959
180,-663847.8764621959
181,-680626.4059977203
182,-642556.0126881367
183,-678097.3433954044
184,-696670.8173627548
185,-685243.7636715578
186,-645791.3200090757
187,-642498.8634816997
188,-644014.7912515979
189,-647464.6309830137
190,-562093.7486862768
191,-575580.7106326786
192,-602753.490960347
193,-634596.6707819725
194,-607571.3291902249
195,-575211.8026431157
196,-605470.488433268
197,-620894.1128832783
198,-639161.5293088303
199,-659839.8436099046
200,-633112.9611958842
201,-658059.1080755359
202,-647099.2773327958
203,-636766.8319262244
204,-643028.1512957165
205,-621326.2825028609
206,-613759.6455306415
207,-591675.3641799757
208,-603529.0465107255
209,-655966.2678306852
210,-568447.2988952487
211,-622574.7971418609
212,-595840.6583875454
213,-624253.0596688491
214,-666892.4728365026
215,-659013.4915855698
216,-587017.3761746653
217,-650123.166938287
218,-684370.9985970616
219,-731127.0906841223
220,-688111.3517360204
221,-732778.6259865264
222,-707538.3886916474
223,-701147.1815640851
224,-622770.240663063
225,-572412.1670465233
226,-577951.2388002272
227,-614919.0177638769
228,-613087.9344877742
229,-639717.3730040111
230,-599872.0544993276
231,-614498.2611013033
232,-620331.1454823051
233,-639894.1054058484
234,-676523.4253720642
235,-565940.1259190361
236,-623411.9253253352
237,-615221.6811081184
238,-589012.6763885431
239,-629128.2001928855
240,-588103.3924246725
241,-615345.7404731
242,-626760.699446649
243,-647047.0533454354
244,-673524.9182043512
245,-631388.2667654952
246,-621827.8941591656
247,-606110.5327103105
248,-565254.7082435474
249,-604163.9466665019
250,-613033.821565889
251,-621944.0584572766
252,-628583.6228924176
253,-624134.8719967878
254,-622706.1203062395
255,-590856.6571876382
256,-527777.8382457837
257,-538025.8687012268
258,-608055.8581980027
259,-583201.725524927
260,-612121.2375321764
261,-608117.5635174791
262,-585600.894641207
263,-664072.5381596717
264,-622694.8759831154
265,-607396.3386059442
266,-627816.6392927887
267,-603027.315949699
268,-644355.0397467562
269,-610441.8491747621
270,-575550.3913417262
271,-620945.9503268499
272,-604189.6965100098
273,-664268.6849906722
274,-639530.5356857519
275,-628737.2468213972
276,-583045.2130560635
277,-617130.5765133414
278,-656578.0288485267
279,-684529.1910776122
280,-628994.305260757
281,-637181.6592273671
282,-606178.3924922484
283,-625818.9225103997
284,-616564.5138800363
285,-637977.3272551221
286,-628323.3978107042
287,-677346.6637759298
288,-646830.6278347619
289,-672090.2418197009
290,-700142.1247484272
291,-632378.6534676787
292,-614887.1338054613
293,-666157.1736145046
294,-700512.7545651397
295,-601448.7104913711
296,-671806.7461274596
297,-643313.0615352126
298,-616254.2270437016
299,-661510.6611082982
300,-682601.177948589
301,-658956.529707008
302,-659492.5310710784
303,-668420.0438392687
304,-693926.1711030126
305,-639225.4110149175
306,-634301.4595282662
307,-636386.2533588292
308,-551192.7721572707
309,-617161.432999673
310,-651858.171425059
311,-584119.7858382579
312,-583438.4364763392
313,-614382.560951248
314,-618980.0632072301
315,-654120.6552092273
316,-681602.1894119864
317,-703508.1785371763
318,-695399.3489384723
319,-714567.824981139
320,-645842.1755838149
321,-638104.9515820935
322,-633573.9857725928
323,-659239.2078362951
324,-681488.6770615029
325,-627897.9553200073
326,-605324.2703572424
327,-576473.6008744983
328,-586371.2453453427
329,-614010.9222631073
330,-581712.526261398
331,-618048.212800841
332,-558274.5523122982
333,-607691.212224974
334,-675872.7670631955
335,-657428.7068957313
336,-654800.7165702049
337,-664032.7328223918
338,-622232.7632501043
339,-643348.1585279905
340,-630800.1737008981
341,-675279.1535143476
342,-659738.4411396745
343,-680938.4760895265
344,-658169.9953983438
345,-619690.1423807428
346,-619645.8809761361
347,-592014.0798338517
348,-630129.3067628704
349,-682824.4100561634
350,-598817.9617854413
351,-590930.4378258686
352,-523399.8149735516
353,-574821.4476466427
354,-627950.1673187803
355,-602157.3014633415
356,-628353.5974889424
357,-651722.314998275
358,-630260.8332884414
359,-692309.3237331522
360,-658545.1871977025
361,-656245.6256577836
362,-654933.8305183369
363,-633597.0962032239
