,episode_rewards,weekly_moving_rewards,monthly_moving_rewards
0,-2486678.2940637385,,
1,-2238262.700877857,,
2,-2536771.030065791,,
3,-2502089.9525420335,,
4,-2258436.038319321,,
5,-2253283.1355669964,,
6,-2145044.6274744924,-2345795.11127289,
7,-2011254.4480892462,-2277877.4189908197,
8,-2155739.3126380914,-2266088.363527996,
9,-2057907.5551871962,-2197679.2956881966,
10,-2877222.810440944,-2251269.7039594697,
11,-1960843.2846707,-2208756.4534382382,
12,-1691686.7890404242,-2128528.4039344424,
13,-1513039.1086015874,-2038241.901238313,
14,-370100.7144412774,-1803791.3678600318,
15,-292650.34446317365,-1537635.8009779006,
16,-684962.695698577,-1341500.8210509552,
17,-1077476.6582386086,-1084394.227879193,
18,-2466780.7257919465,-1156671.005182228,
19,-3022370.6692444803,-1346768.702354236,
20,-2912747.0109034805,-1546726.9741116494,
21,-3269034.5746030626,-1960860.38270619,
22,-3605076.606707477,-2434064.1344553763,
23,-3290883.3834640807,-2806338.5184218767,
24,-2925732.09897309,-3070375.0099553736,
25,-3106027.032923367,-3161695.910974148,
26,-3663075.1481222226,-3253225.122242397,
27,-3308617.669257329,-3309778.0734358034,
28,-13704473.858224446,-4800555.113953143,
29,-3063315.961879946,-4723160.736120639,-2715052.808017166
30,-3549697.5011741193,-4760134.181507788,-2750486.781587512
31,-3625048.738487004,-4860036.558581204,-2796712.9828411504
32,-3081705.8915683688,-4856562.109816204,-2814877.4782245695
33,-3083261.3110177694,-4773731.561658425,-2834249.856840427
34,-3479922.2415844398,-4798203.643419442,-2874966.063615931
35,-3052531.0569372936,-3276497.5289498484,-2901607.660994941
36,-3046524.6855681064,-3274098.7751910137,-2931656.9962647283
37,-3040801.6844137707,-3201399.3727966784,-2965975.237475546
38,-3023324.6971714776,-3115438.795465889,-2994894.750293326
39,-3217124.547404588,-3134784.3177282056,-3033535.316700572
40,-3116702.9611745193,-3139561.6963220267,-3041517.9883916914
41,-2875495.136465947,-3053214.967019385,-3072006.3834515335
42,-3149739.7353439387,-3067101.9210774773,-3120608.148328317
43,-3113026.739846222,-3076602.2145457794,-3173941.0693698046
44,-3163925.333909654,-3094191.3073309055,-3267068.556685417
45,-3438481.884777593,-3153499.4769889223,-3371929.608029231
46,-3406263.1738880966,-3180519.2807722804,-3462639.623968882
47,-2989060.9208216453,-3162284.703579013,-3526359.0993883167
48,-2955627.84770839,-3173732.2337565045,-3542654.003452198
49,-3151967.719741331,-3174050.5172418463,-3546973.905135426
50,-3410883.2520351284,-3216601.4475545473,-3563578.446506481
51,-3522926.7557409564,-3267887.3649590192,-3572041.5192110776
52,-2675467.9420224903,-3158885.3731368617,-3541054.5637215776
53,-1812743.384586832,-2931239.6889509666,-3491783.2304256693
54,-1470897.1944633494,-2714359.1566140675,-3443288.7336086775
55,-1484957.97784082,-2504263.4609187,-3389253.0984392595
56,-1313858.1942678618,-2241676.3858510614,-3310945.8666441143
57,-1357155.0873919686,-1948286.6480448956,-3245897.1139152693
58,-1322165.2987580965,-1633892.1541902013,-2833153.4952663905
59,-1415059.6854269262,-1453833.8318194065,-2778211.619384623
60,-1289736.6185032835,-1379118.5795217569,-2702879.5899622617
61,-1466317.1460458548,-1378464.286890686,-2630921.8702142234
62,-1548497.9629875438,-1387541.4276259323,-2579814.939261529
63,-1284093.6988361287,-1383289.3568499705,-2519842.6855221414
64,-1421108.2420325272,-1392425.5217986219,-2451215.5522037446
65,-1438994.1347899174,-1409115.3555174533,-2397430.9881321653
66,-1332071.3019776975,-1397259.8721675635,-2340282.5420124847
67,-1325178.8859362644,-1402323.053229418,-2283095.1153965676
68,-1464912.7261123129,-1402122.4218103406,-2231148.0496945954
69,-1417871.4901945838,-1383461.497125632,-2171172.9477875954
70,-1305869.383599414,-1386572.3092346727,-2110811.828535092
71,-1404725.4090176204,-1384231.9045182574,-2061786.1709534812
72,-1263297.6523007005,-1359132.4070197977,-1998904.7681853732
73,-1375700.275095516,-1365365.1174652001,-1940993.8860270162
74,-1315492.5543789282,-1363981.3558141522,-1879379.4600426587
75,-1419725.5961721938,-1357526.0515369922,-1812087.5837558121
76,-1447427.130994943,-1361748.2859370434,-1746793.0489927072
77,-1331065.7311399104,-1365347.7641571146,-1691526.5426699826
78,-1314510.196457233,-1352459.8766484878,-1636822.6209616107
79,-1355180.8199181356,-1365586.0434509784,-1576929.7243008376
80,-1367028.9664935512,-1364347.285079269,-1508801.2481161184
81,-1313232.8750352543,-1364024.4737444583,-1435144.7854259284
82,-1411700.0573483142,-1362877.96819819,-1393019.1892701227
83,-1335574.9708627355,-1346899.088179303,-1377113.5754793196
84,-1412959.3209075914,-1358598.1724318287,-1375182.3130274608
85,-1023190.038270836,-1316981.0069766291,-1359790.0483751283
86,-1050855.2138190437,-1273505.9203910448,-1351023.2823601675
87,-891898.5986767362,-1205630.153560071,-1335514.7327363265
88,-933869.1097648807,-1151435.3299500179,-1322571.5264365526
89,-1087334.9171580148,-1105097.452779975,-1311647.3674942555
90,-924403.3285193976,-1046358.6467309269,-1299469.5911614595
91,-1006280.5568850248,-988261.6804419889,-1284135.038189432
92,-935371.2103184288,-975716.133591645,-1263697.4797671281
93,-1076413.1693736902,-979367.2700994516,-1256774.7954517135
94,-937730.7919785416,-985914.7262854239,-1240662.2137832472
95,-1012635.8947802064,-997167.1241447561,-1226450.2724495903
96,-1034286.4689435714,-989588.7743998356,-1216524.111348453
97,-1039688.0407327169,-1006058.0190017384,-1207007.749841668
98,-1215207.6661494714,-1035904.7488966595,-1198684.2478429067
99,-1341603.9996409162,-1093938.0045141575,-1196141.9981577846
100,-1361482.0891706639,-1134662.1359137252,-1197995.7550101595
101,-1130976.3239123346,-1162268.6404756957,-1188870.78550665
102,-1344087.7964428775,-1209618.9121417918,-1191563.7903113891
103,-1349206.647178548,-1254607.5090325025,-1190680.6693808236
104,-1335186.427311861,-1296821.5642580946,-1191337.1318119213
105,-1146437.5308559418,-1286997.259216162,-1182227.529634713
106,-1204023.2748923062,-1267342.8699663605,-1174114.067764625
107,-1120410.9126190965,-1232904.1304589938,-1167092.2404805978
108,-1221421.207161217,-1245824.828065977,-1163989.2741707307
109,-1078318.4171604188,-1207857.7738827686,-1154760.5274121403
110,-1049982.0192419135,-1165111.3984632494,-1144192.2958370857
111,-1104268.3456681953,-1132123.101085583,-1137226.8115248503
112,-1225349.0676849235,-1143396.1777754375,-1131015.1118694043
113,-1025589.6541424321,-1117905.6605254556,-1120682.2679787274
114,-1174069.447401082,-1125571.1654943107,-1112719.272195177
115,-1172960.4963945304,-1118648.2068133554,-1117711.6207993003
116,-1109972.5114270619,-1123170.2202800189,-1119682.1973862343
117,-1060046.1928342532,-1124607.959364639,-1125287.117191485
118,-1268819.3188911353,-1148115.2412536305,-1136452.12416236
119,-1186502.225940729,-1142565.692433031,-1139757.7011217838
120,-1051795.0248608727,-1146309.3168213798,-1144004.090999833
121,-1145741.8816915837,-1142262.5217200231,-1148652.8018267183
122,-1017068.4088020101,-1119992.2234925202,-1151376.0417761707
123,-1237047.0598633697,-1138145.7304119929,-1156730.5047924933
124,-1030953.5637724448,-1133989.6405460204,-1159837.930518957
125,-1070648.3177897015,-1105679.4975315297,-1161771.677952607
126,-1011584.4896620755,-1080691.249491722,-1161014.9453098902
127,-1257671.4828941738,-1110102.1720679079,-1168281.0600486055
128,-1066745.468955593,-1098816.9702484806,-1163332.3201421427
129,-868544.2216550236,-1077599.2292274826,-1147563.6608759463
130,-672039.6424369346,-996883.8838808489,-1124582.245984822
131,-631681.1622571369,-939844.9693786621,-1107939.0739296486
132,-572283.1346898662,-868649.9432215428,-1082212.251871215
133,-563615.2899047304,-804654.3432562078,-1056025.873295421
134,-647562.9405780382,-717495.9800681883,-1033105.0904042937
135,-630258.7670809152,-655140.7369432343,-1015899.1316117927
136,-663499.7444922071,-625848.6687771176,-997881.6805984561
137,-583048.3413605903,-613135.6257662113,-979969.5948898393
138,-556571.7785963931,-602405.7138146765,-957807.9472710118
139,-552054.5741686196,-599515.9194544983,-940265.8191712851
140,-598885.0089040954,-604554.450740122,-925229.2521600245
141,-620393.0634634997,-600673.0397237594,-909100.0760865345
142,-605705.1750883163,-597165.3837248167,-888445.2796666477
143,-648231.648201969,-594984.2271119255,-875866.6794686322
144,-620329.1614366921,-600310.0585513685,-857408.6699364859
145,-675919.6574421338,-617359.7555293316,-840840.6419714061
146,-561663.6647687322,-618732.4827579191,-822563.6804161284
147,-617760.6554665938,-621429.0036954188,-807820.8291705397
148,-803823.1405582892,-647633.3004232459,-792320.9565594449
149,-570862.6420696075,-642655.7957062876,-771799.6370970741
150,-581266.8289862177,-633089.3929611804,-756115.3639012522
151,-571556.1776877645,-626121.8238541906,-736975.8404344582
152,-522407.3499196266,-604191.4942081182,-720487.1384717121
153,-578910.539812993,-606655.3335001555,-698549.254470033
154,-584431.5403448688,-601894.0313399091,-683665.1870224471
155,-638424.1638982927,-578265.6061027667,-669257.7152260669
156,-628825.1513122946,-586545.9645660077,-656499.0706144074
157,-662804.3978141025,-598194.188684277,-636670.167778405
158,-595357.3719368232,-601594.3592912855,-620957.2312111128
159,-612749.189616459,-614500.336390833,-612430.7301431608
160,-796100.6233870643,-645527.4911871289,-616566.0961748317
161,-610343.7478569073,-649229.2351174202,-615854.8490281573
162,-617638.0811477876,-646259.7947244907,-617366.6805767546
163,-651666.3219104086,-649522.8190956499,-620301.7149769438
164,-729739.5066127346,-659084.9774954545,-623040.9338447669
165,-667907.2296191191,-669449.2428786397,-624295.8825960404
166,-651793.9969811058,-675027.0725021607,-623905.6910123371
167,-690668.2901173976,-659965.310606494,-627493.022637564
168,-560677.4368751568,-652870.1233233868,-627629.8779135228
169,-594810.7883669832,-649609.0814975575,-629055.0850534682
170,-514061.0022755454,-629951.178692577,-626227.6181658499
171,-640903.00499791,-617260.2498904591,-626911.2828836635
172,-593056.8135843081,-606567.3333140576,-626489.67083353
173,-551190.2043163382,-592195.3629333766,-623254.9560373423
174,-508697.63842664205,-566199.5555489829,-619533.9052703406
175,-455409.64504526317,-551161.2995732838,-612183.5715237783
176,-578869.6870704975,-548883.9993880715,-612757.1056005037
177,-505844.0538093094,-547710.1496071807,-609026.5522119276
178,-511569.8370775268,-529233.9827614117,-599284.7754292357
179,-530683.2340684012,-520323.4714019964,-597945.4618291954
180,-513069.74879402877,-514877.6920416664,-595672.2258227892
181,-480079.2747457516,-510789.35437296785,-592622.9957247222
182,-754868.3389293518,-553569.1677849804,-600371.6953583795
183,-569945.1824276684,-552294.2385502906,-600072.850112202
184,-564380.3680456225,-560656.5691554782,-599404.4777022271
185,-689271.5786836431,-586042.5322420663,-601099.3915284055
186,-506813.8651673741,-582632.6223990625,-597032.3486569081
187,-592593.3374615379,-593993.1350658495,-594691.9799784893
188,-656837.111611574,-619244.2546181099,-596741.3046343144
189,-577709.7533073385,-593935.8852435366,-595573.3234240103
190,-592519.1544641199,-597160.738391601,-588787.2744599121
191,-518959.9262991708,-590672.1038563937,-585741.1470746542
192,-782033.2742793992,-603923.7746557873,-591220.986845708
193,-628295.18258461,-621278.2485725352,-590441.9488681814
194,-678112.53342283,-633495.2765670056,-588721.0497618514
195,-661576.9797585722,-634172.4005880052,-588510.0414331665
196,-663225.1368435959,-646388.8839503276,-588891.0794285828
197,-666872.4788118412,-657010.7874285736,-588097.8857183976
198,-740776.9126739613,-688698.928339258,-594101.2015783577
199,-711894.4342818278,-678679.0940538907,-598003.9897755191
200,-694670.537067856,-688161.2875514972,-604024.3076019294
201,-643885.348885563,-683271.689760459,-604123.7190648512
202,-575787.3558212662,-671016.0291979868,-603548.0704727498
203,-623089.7820359382,-665282.4070826072,-605944.7230634033
204,-794122.8979752179,-683461.0383916609,-615458.8983816891
205,-573198.2126576935,-659521.2241036227,-619385.1839687701
206,-610123.5810196802,-644982.5307804587,-620426.980433743
207,-620004.6650314648,-634315.9776324028,-624232.3341411481
208,-611337.3684305347,-629666.2661388273,-627557.9185195818
209,-709561.6924188078,-648776.8856527619,-633520.5337979286
210,-507610.18016543036,-632279.7996712608,-633338.5481769752
211,-475979.189402278,-586830.698446555,-633201.878665526
212,-436767.1760934047,-567340.5503659423,-622598.5065709945
213,-618570.5261858305,-568547.2568182495,-624219.3513629332
214,-581911.2940480241,-563105.3466777579,-624803.7155630131
215,-597212.6285582026,-561087.5266959962,-621735.0838921651
216,-2046413.1905957798,-752066.3121498494,-673055.0614064452
217,-1036377.2807586016,-827604.4693774452,-687847.8595163473
218,-667498.3952503696,-854964.3559271727,-688203.2356376405
219,-2407359.7762281983,-1136477.5845178573,-749191.5697350024
220,-1121995.207333608,-1208395.3961103968,-766840.7714973188
221,-758965.5116932055,-1233688.8557739942,-774840.95767712
222,-658456.8247333666,-1242438.0266561604,-770721.7426922522
223,-647690.6107147642,-1042620.5152445866,-771368.2569632572
224,-823152.432617541,-1012159.8226530066,-776202.9202697476
225,-610786.6069447941,-1004058.1386093529,-774509.9078426217
226,-602035.9100133542,-746154.7291500896,-772470.2669482804
227,-694695.0045370768,-685111.8430362993,-773397.6844724548
228,-577526.9754553331,-659192.0521451747,-767956.0198985005
229,-548381.1690808288,-643466.9584805265,-762505.577725134
230,-578227.0148179237,-633543.5876381205,-758624.1269834695
231,-616061.5847601257,-603959.1808013469,-757696.6681792883
232,-595785.8235244493,-601816.2117412976,-758363.2837693944
233,-535851.5981598244,-592361.3100479363,-755455.3443068571
234,-600614.6381035337,-578921.2577002872,-749005.068977801
235,-547655.7333862607,-574653.9374047054,-748153.6530020866
236,-589804.6863028029,-580571.5827221303,-747476.356511524
237,-523668.471794701,-572777.5051473841,-744265.1500702985
238,-641011.5620900624,-576341.7876230894,-745254.2898589493
239,-620156.0396068809,-579823.2470634367,-742274.1014318852
240,-544011.1063926129,-580988.8910966922,-743487.4656394579
241,-474819.5613103937,-563018.1658405293,-743448.8113697284
242,-527642.1880517976,-560159.087935606,-746477.9784350082
243,-519570.16424130625,-550125.5847839636,-743177.9663701908
244,-543250.6048667465,-552923.0323656844,-741889.276730815
245,-519274.59151785186,-535532.0365696542,-739291.3421628032
246,-427398.3948289707,-507995.23017280997,-685324.1823039096
247,-439570.8935906331,-493075.19977252715,-665430.6360649773
248,-614350.5394889686,-513008.1966551807,-663659.0408729307
249,-535910.3460593394,-514189.36208482954,-601277.3932006354
250,-487647.95144493924,-509629.04597106285,-580132.4846710131
251,-579135.7221690591,-514755.49129996466,-574138.1583535415
252,-527946.1934148258,-515994.291570961,-569787.8039762569
